S.No,Store Name,Address,Pincode,City,State,Phone,Store Page URL
126,"Pizza Hut - Bapunagar, Ahmedabad","Shop No 28/29, Shakti Dhara Complex, Bapunagar, Opposite Kakadia Hospital, Ahmedabad, Gujarat, India",380024,Ahmedabad,Gujarat,073049 69147,https://restaurants.pizzahut.co.in/pizza-hut-bapunagar-ahmedabad-in-gujarat-ahmedabad-opposite-kakadia-hospital-24725/Home
127,"Pizza Hut - Char Rasta, Ahmedabad","Shop No 10 to 12, Gr Flr, Hilltown Plaza, Nikol Ring Road, Char Rasta, Nikol, Near Amarjawan Circle, Ahmedabad, Gujarat, India",382350,Ahmedabad,Gujarat,086554 72381,https://restaurants.pizzahut.co.in/pizza-hut-nikol-pizzerias-nikol-ahmedabad-287988/Home
128,"Pizza Hut - Maninagar, Ahmedabad","SN 1, Gr Flr, Rajdeep Dream Building, Pushpakunj, Maninagar, Beside IDBI Bank, Ahmedabad, Gujarat, India",380008,Ahmedabad,Gujarat,086556 89165,https://restaurants.pizzahut.co.in/pizza-hut-ph-maninagar-pizza-restaurant-maninagar-ahmedabad-132663/Home
129,"Pizza Hut - Prahlad Nagar, Ahmedabad","Ground Floor, TOWER-A, A 8, Prahlad Nagar, Ahmedabad, Gujarat, India",380015,Ahmedabad,Gujarat,089768 83075,https://restaurants.pizzahut.co.in/pizza-hut-prahlad-nagar-pizza-restaurant-prahlad-nagar-ahmedabad-23034/Home
130,"Pizza Hut - SG Highway, Ahmedabad","Unit No FH 7, 5th Floor, Palladium, SG Highway, Thaltej, Ahmedabad, Gujarat, India",380054,Ahmedabad,Gujarat,086556 89200,https://restaurants.pizzahut.co.in/pizza-hut-ph-phoenix-mall-pizzerias-thaltej-ahmedabad-264892/Home
131,"Pizza Hut - Sardar Vallabhbhai Patel Int Airport, Ahmedabad","Sardar Vallabhbhai Patel Intnl Airport, Arrival, Hansol, Ahmedabad, Gujarat, India",380003,Ahmedabad,Gujarat,095490 83170,https://restaurants.pizzahut.co.in/pizza-hut-sardar-vallabhbhai-patel-int-airport-ahmedabad-in-gujarat-ahmedabad-hansol-41308/Home
132,"Pizza Hut - Science City, Ahmedabad","Shop/Unit No 2B, Gr Flr, The Obelisk, Science City Sola Road, Sola, Near Science City Cross Road, Ahmedabad, Gujarat, India",380060,Ahmedabad,Gujarat,089760 83455,https://restaurants.pizzahut.co.in/pizza-hut-pizza-hut-science-city-pizza-restaurant-sola-ahmedabad-118013/Home
133,"Pizza Hut - South Bopal, Ahmedabad","Amrapali Axiom, SP Ring Road, Ahmedabad, Gujarat, India",380058,Ahmedabad,Gujarat,079 4032 9758,https://restaurants.pizzahut.co.in/pizza-hut-sp-ring-road-pizza-delivery-sp-ring-road-ahmedabad-34354/Home
134,"Pizza Hut - Tapovan Circle, Ahmedabad","No 2, Ground Floor, Atishay Prism, Tapovan Circle, Visat Koba Rd, Chandkheda, Ahmedabad, Gujarat, India",382424,Ahmedabad,Gujarat,089760 75163,https://restaurants.pizzahut.co.in/pizza-hut-chandkheda-pizza-restaurant-chandkheda-ahmedabad-92396/Home
135,"Pizza Hut - Vandemataram Road, Ahmedabad","No G2, Savvy Swaraaj Sports Club, Vandemataram, Godrej Garden City Rd, Gota, Ahmedabad, Gujarat, India",382481,Ahmedabad,Gujarat,079 4100 6889,https://restaurants.pizzahut.co.in/pizza-hut-vande-matram-pizza-restaurant-gota-ahmedabad-128601/Home
136,"Pizza Hut - Vastrapur, Ahmedabad","3rd Flr, Nexus Ahmedabad One Mall TP, 216, Lake, near Vastrapur, Scheme 01, Vastrapur, Ahmedabad, Gujarat, India",380054,Ahmedabad,Gujarat,086558 41200,https://restaurants.pizzahut.co.in/pizza-hut-nexus-ahmedabad-one-mall-pizza-restaurant-vastrapur-ahmedabad-297438/Home
137,"Pizza Hut - Vitthal Udyognagar, Anand","Shop No 25/26, GF, Maruti Solaris Mall, Sujitra Road, Near Madhubhan Resort, Anand, Gujarat, India",388001,Anand,Gujarat,086558 41226,https://restaurants.pizzahut.co.in/pizza-hut-sujitra-road-pizza-restaurant-sujitra-road-anand-44207/Home
138,"Pizza Hut - Callista Mall, Bardoli","Callista The Mall, Baben, Near Vidhyabharati College, Bardoli, Gujarat, India",394601,Bardoli,Gujarat,081408 64374,https://restaurants.pizzahut.co.in/pizza-hut-ph-bardoli-pizza-restaurant-baben-bardoli-129248/Home
139,"Pizza Hut - Aerodrome Road, Gandhidham","Unit No 1 & 2, Gr Flr, Aura Building, PN 23, Ward 6 Commercial, Airport Road, Besides Om Cineplex, Gandhidham, Gujarat, India",370201,Gandhidham,Gujarat,089768 84868,https://restaurants.pizzahut.co.in/pizza-hut-ph-gandhidham-pizza-restaurant-airport-road-gandhidham-167662/Home
140,"Pizza Hut - Gandhinagar, Ahmedabad","GF, Pramukh Mastana Arcade, UN 1 to 6, Gandhinagar - Kudasan Road, Urja Ngr, Kudasan, Gandhinagar, Gujarat, India",382421,Gandhinagar,Gujarat,089768 83073,https://restaurants.pizzahut.co.in/pizza-hut-gandhi-ngr-pizza-restaurant-gandhi-ngr-gandhinagar-93175/Home
141,"Pizza Hut - PN Marg, Jamnagar","Shop No 1, Ground Floor, HB Empire, PN Marg, Jamnagar, Opposite Dhanvantri Ground, Jamnagar, Gujarat, India",361008,Jamnagar,Gujarat,098993 19183,https://restaurants.pizzahut.co.in/pizza-hut-ph-hb-empire-jamnagar-pizza-restaurant-jamnagar-jamnagar-125852/Home
142,"Pizza Hut - Shree Hari Complex, Nadiad","Unit No 2, Shree Hari Complex, Uttar Sanda Road, Opposite Kokran Temple, Nadiad, Gujarat, India",387001,Nadiad,Gujarat,086556 89196,https://restaurants.pizzahut.co.in/pizza-hut-pizza-hut-nadiad-pizza-restaurant-uttar-sanda-road-nadiad-175142/Home
143,"Pizza Hut - Naval Nagar, Rajkot","Ground Floor, R World Inox, Kasturba Road, Naval Nagar, Rajkot, Gujarat, India",360001,Rajkot,Gujarat,089760 83765,https://restaurants.pizzahut.co.in/pizza-hut-naval-nagar-rajkot-in-gujarat-rajkot-naval-nagar-11737/Home
144,"Pizza Hut - Raiya Chowk, Rajkot","No 13 & 14, Gr Flr, Westgate 1 Building, 150 Feet Ring Road, Raiya Chowk, Rajkot, Gujarat, India",360007,Rajkot,Gujarat,089760 83328,https://restaurants.pizzahut.co.in/pizza-hut-ph-rajkot-pizzerias-raiya-chowk-rajkot-274999/Home
145,"Pizza Hut - Edifice Mall, Silvassa","No 185P, Edifice The Mal, Gujarat State Hwy, Prithviraj Chauhan Marg, Silvassa, Gujarat, India",396230,Silvassa,Gujarat,098993 05604,https://restaurants.pizzahut.co.in/pizza-hut-edifice-mall-silvassa-pizza-restaurant-prithviraj-chauhan-marg-silvassa-301874/Home
146,"Pizza Hut - Atlanta Mall, Surat","Shop No 40, 41 & 43, Atlanta Mall, Mota Varacha, Surat, Gujarat, India",394101,Surat,Gujarat,086558 41198,https://restaurants.pizzahut.co.in/pizza-hut-ph-mota-varacha-pizzerias-mota-varacha-surat-297997/Home
147,"Pizza Hut - Parvatpatiya, Surat","S No G21, G22 & B1, Gr Flr, The Palace, Godadara Road, Parvat Patia, Opposite Capital Square, Surat, Gujarat, India",395010,Surat,Gujarat,086556 89169,https://restaurants.pizzahut.co.in/pizza-hut-ph-parvatpatia-surat-pizza-restaurant-parvat-patia-surat-175141/Home
148,"Pizza Hut - Piplod, Surat","No 1C, Ground Floor, Rahul Raj Mall, Dumbas Road, Piplod, Surat, Gujarat, India",395007,Surat,Gujarat,086556 89252,https://restaurants.pizzahut.co.in/pizza-hut-ph-rr-mall-pizza-restaurant-piplod-surat-305593/Home
149,"Pizza Hut - Tribhuvan, Surat","OB/1, Tribhuvan Complex, Ghod Dod Road, Next to Baskin Robbins, Surat, Gujarat, India",395007,Surat,Gujarat,095126 42270,https://restaurants.pizzahut.co.in/pizza-hut-ghod-dod-road-pizza-restaurant-ghod-dod-road-surat-1132/Home
150,"Pizza Hut - Vesu, Surat","Ground floor, Shop no. 32 & 33, Palladium, VIP road, Vesu, Surat, Gujarat, India",395007,Surat,Gujarat,089760 75561,https://restaurants.pizzahut.co.in/pizza-hut-vesu-surat-in-gujarat-surat-vesu-31435/Home
