S.No,Store Name,Address,Pincode,Google Pincode,Pincode Match,City,State,Phone,Store Page URL,Place ID,Lat,Long,Google Name,Google Address,Google Lat,Google Long,Business Status,Lookup
505,"Pizza Hut - Dhayari, Pune","Apple Regency, Main Gate, Sinhgad Road, opposite Nanded, Dhayari, Pune, Maharashtra, India",411068,411068,Yes,Pune,Maharashtra,072900 68341,https://restaurants.pizzahut.co.in/pizza-hut-ph-dhayari-pune-pizza-restaurant-dhayari-pune-107787/Home,ChIJvaSYQtiVwjsRhQkJWG4Uy9c,,,"Pizza Hut | Dhayari, Pune","Apple Regency, Main Gate, Sinhgad Rd, opposite Nanded, Nanded Fata, Pandurang Industrial Area, Dhayari, Pune, Maharashtra 411068, India",18.4569609,73.8021601,OPERATIONAL,text search
506,"Pizza Hut - Dighi, Pune","Shop No 85/1/1, GF, Kamalraj Nishigandh, Pune Alandi Road, Dighi, Near Parande Properties, Pune, Maharashtra, India",411015,411015,Yes,Pune,Maharashtra,089760 74224,https://restaurants.pizzahut.co.in/pizza-hut-ph-dighi-pizzerias-dighi-pune-249767/Home,ChIJFxo7r67HwjsRjsg4UYXUTYc,18.6196401,73.8738101,"Pizza Hut | Dighi, Pune","Shop No 85/1/1, GF, Kamalraj Nishigandh Pune Alandi Road, Dighi, near Parande, Datta Nagar, Gokul Colony, Properties, Pune, Pimpri-Chinchwad, Maharashtra 411015, India",18.6196401,73.8738101,OPERATIONAL,place_id
507,"Pizza Hut - Elpro City Square Mall, Pune","No 301, 3rd Floor, Elpro Mall, Chinchwad Gaon, Chinchwad, Pune, Maharashtra, India",411033,411033,Yes,Pune,Maharashtra,089760 73925,https://restaurants.pizzahut.co.in/pizza-hut-ph-fcdi-elpro-mall-pizza-restaurant-chinchwad-pune-108266/Home,ChIJl9J7FBS5wjsRgZcamqTHPeo,18.6284112,73.7840933,"Pizza Hut | Elpro City Square Mall, Pune","No 301, 3rd Floor, Elpro Mall, Chinchwad Gaon, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411033, India",18.6284112,73.7840933,OPERATIONAL,place_id
508,"Pizza Hut - FC Road, Pune","Shop No 1A, Millenium Plaza, Survey No 1216, Fergusson College Road, Pune, Maharashtra, India",411004,411004,Yes,Pune,Maharashtra,089760 73701,https://restaurants.pizzahut.co.in/pizza-hut-fc-collage-road-pizza-delivery-fc-collage-road-pune-2581/Home,ChIJx8FpMYe_wjsRbbVNCWNTxss,18.5218281,73.8410822,"Pizza Hut | FC Road, Pune","Shop No 1A, Millenium Plaza, Survey No 1216, Ferguson College Rd, Shivajinagar, Pune, Maharashtra 411004, India",18.5218281,73.8410822,OPERATIONAL,place_id
509,"Pizza Hut - Global High Street Mall, Hinjewadi","3rd Flr, Global Hi Street Mall, Phase 1, Rajiv Gandhi Infotech Park,Hinjewadi, Pune, Maharashtra, India",411057,411057,Yes,Pune,Maharashtra,095820 79268,https://restaurants.pizzahut.co.in/pizza-hut-hinjewadi-pizza-delivery-hinjewadi-pune-1368/Home,ChIJedInb967wjsRe4qHHeOco_M,18.5943977,73.7254504,"Pizza Hut | Global High Street Mall, Hinjewadi","3rd Flr, Global Hi Street Mall, Phase 1, Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057, India",18.5940284,73.7255741,OPERATIONAL,place_id
510,"Pizza Hut - Gurunanak Nagar, Pune","No 2 & 3, 3rd Floor, Vrindavan Society, Shankar Seth Rod,Gurunanak Nagar, Pune, Maharashtra, India",411037,411037,Yes,Pune,Maharashtra,089760 75116,https://restaurants.pizzahut.co.in/pizza-hut-ph-kumar-pacific-pizzerias-gurunanak-nagar-pune-199340/Home,ChIJKaSLiBjBwjsRhdGE13o-p4o,18.5011186,73.8704566,"Pizza Hut | Gurunanak Nagar, Pune","3rd Floor, Vrindavan Society, No 2 & 3, Shankar Sheth Rd, Mira Society, Vrindavan Society, Guru Nanak Nagar, Pune, Maharashtra 411037, India",18.5011186,73.8704566,OPERATIONAL,place_id
511,"Pizza Hut - Hirabaug, Pune","No 1, Plot No 47A & 1077, HBC Building, Shukrawar Peth, Hirabaug, Near Hirabaug Chowk, Pune, Maharashtra, India",411002,411002,Yes,Pune,Maharashtra,089760 75042,https://restaurants.pizzahut.co.in/pizza-hut-sapphire-foods-india-ltd-pizzerias-hirabaug-pune-187345/Home,ChIJL2qK-BLAwjsRKRpe4faJfns,18.5037594,73.8561211,"Pizza Hut | Hirabaug, Pune","No 1, HBC Building, Plot No 47A & 1077, Hirabaug, near Hirabaug Chowk, Subhash Nagar, Shukrawar Peth, Pune, Maharashtra 411002, India",18.5037594,73.8561211,OPERATIONAL,place_id
512,"Pizza Hut - Kalyani Nagar , Pune","Shop No 12, Hermes Waves Mall, Kalyani Nagar, Pune, Maharashtra, India",411016,411016,Yes,Pune,Maharashtra,089760 73714,https://restaurants.pizzahut.co.in/pizza-hut-kalyani-nagar-pizza-delivery-kalyani-nagar-pune-1128/Home,ChIJN9gBCxDBwjsRXKeOH64HWak,18.546493,73.900846,"Pizza Hut | Kalyani Nagar , Pune","Shop No 12, Hermes Waves Mall, Kalyani Nagar, Pune, Maharashtra 411016, India",18.546493,73.900846,OPERATIONAL,place_id
513,"Pizza Hut - Karve Road, Pune","Showroom No 04, Krushnai Plaza CTS No 291, Hingne, Karvenagar, Pune, Maharashtra, India",411052,411052,Yes,Pune,Maharashtra,089760 74712,https://restaurants.pizzahut.co.in/pizza-hut-ph-karve-nagar-pizza-restaurant-karve-nagar-pune-163314/Home,ChIJ3Yl3NfO_wjsReQ-WoDSbjoc,18.4879818,73.8137331,"Pizza Hut | Karve Road, Pune","Showroom No 04, Krushnai Plaza CTS No 291, Hingne, Karvenagar, Pune, Maharashtra 411052, India",18.4879818,73.8137331,OPERATIONAL,place_id
514,"Pizza Hut - Katraj, Pune","Green Park, Pune Satara Road, Katraj, Opposite Bharti Vidyapeeth Main Gate, Pune, Maharashtra, India",411046,411046,Yes,Pune,Maharashtra,098993 19553,https://restaurants.pizzahut.co.in/pizza-hut-katraj-pizza-delivery-katraj-pune-1367/Home,ChIJFW9m2cbqwjsRYD0hPjwuXD8,18.4575442,73.8586266,"Pizza Hut | Katraj, Pune","Green Park Pune Satara Road, Katraj, opposite Bharti Vidyapeeth, Main Gate, Pune, Maharashtra 411046, India",18.4575442,73.8586266,OPERATIONAL,place_id
515,"Pizza Hut - Kothrud, Pune","Plot no A-6 & A-7,CST no 667, Shop no 9, Stilth Floor, Pune, Maharashtra, India",400062,400062,Yes,Pune,Maharashtra,086556 16024,https://restaurants.pizzahut.co.in/pizza-hut-kothrud-pizza-delivery-kothrud-pune-1123/Home,ChIJYWXFp2XAwjsRc-BMCIbWz7g,18.4986762,73.8209458,"Pizza Hut | Kothrud, Pune","Plot no A-6 & A-7,CST no 667, Shop no 9, Stilth Floor, Paschimanagri, Kothrud, Pune, Maharashtra 400062, India",18.4986762,73.82094579999999,OPERATIONAL,place_id
516,"Pizza Hut - Magarpatta, Pune","No 01, 140/11 & 13, Green Harvest Bldg, Magarpatta,Hadapsar, Pune, Maharashtra, India",411028,411028,Yes,Pune,Maharashtra,070650 11226,https://restaurants.pizzahut.co.in/pizza-hut-hadapsar-pizza-delivery-hadapsar-pune-1370/Home,ChIJn9PHTIrBwjsR7SmdsyiBoTg,18.5171458,73.9331275,"Pizza Hut | Magarpatta, Pune","No 01, Green Harvest, 140/11 & 13, Bldg, Magarpatta, Hadapsar, Pune, Maharashtra 411028, India",18.5171458,73.9331275,OPERATIONAL,place_id
517,"Pizza Hut - Magnum Mall (Kakde), Pune","No 231, SGS Mall Camp, Moledina Rd, Pune, Maharashtra, India",411001,411001,Yes,Pune,Maharashtra,089760 73753,https://restaurants.pizzahut.co.in/pizza-hut-moledina-rd-pizza-restaurant-moledina-rd-pune-1194/Home,ChIJs9Ce6kjAwjsRBEIAOvwSc9U,18.5193676,73.8771984,"Pizza Hut | Magnum Mall (Kakde), Pune","SGS Mall, 231, Moledina Rd, Camp, Pune, Maharashtra 411001, India",18.5193676,73.8771984,OPERATIONAL,place_id
